# n  O(1)  O(log2n)  O(n)
1 1.000000 0.000000 1.000000
2 1.000000 1.000000 2.000000
3 1.000000 1.584963 3.000000
4 1.000000 2.000000 4.000000
5 1.000000 2.321928 5.000000
6 1.000000 2.584963 6.000000
7 1.000000 2.807355 7.000000
8 1.000000 3.000000 8.000000
9 1.000000 3.169925 9.000000
10 1.000000 3.321928 10.000000
11 1.000000 3.459432 11.000000
12 1.000000 3.584963 12.000000
13 1.000000 3.700440 13.000000
14 1.000000 3.807355 14.000000
15 1.000000 3.906891 15.000000
16 1.000000 4.000000 16.000000
17 1.000000 4.087463 17.000000
18 1.000000 4.169925 18.000000
19 1.000000 4.247928 19.000000
20 1.000000 4.321928 20.000000
21 1.000000 4.392317 21.000000
22 1.000000 4.459432 22.000000
23 1.000000 4.523562 23.000000
24 1.000000 4.584963 24.000000
25 1.000000 4.643856 25.000000
26 1.000000 4.700440 26.000000
27 1.000000 4.754888 27.000000
28 1.000000 4.807355 28.000000
29 1.000000 4.857981 29.000000
30 1.000000 4.906891 30.000000
31 1.000000 4.954196 31.000000
32 1.000000 5.000000 32.000000
33 1.000000 5.044394 33.000000
34 1.000000 5.087463 34.000000
35 1.000000 5.129283 35.000000
36 1.000000 5.169925 36.000000
37 1.000000 5.209453 37.000000
38 1.000000 5.247928 38.000000
39 1.000000 5.285402 39.000000
40 1.000000 5.321928 40.000000
41 1.000000 5.357552 41.000000
42 1.000000 5.392317 42.000000
43 1.000000 5.426265 43.000000
44 1.000000 5.459432 44.000000
45 1.000000 5.491853 45.000000
46 1.000000 5.523562 46.000000
47 1.000000 5.554589 47.000000
48 1.000000 5.584963 48.000000
49 1.000000 5.614710 49.000000
50 1.000000 5.643856 50.000000
51 1.000000 5.672425 51.000000
52 1.000000 5.700440 52.000000
53 1.000000 5.727920 53.000000
54 1.000000 5.754888 54.000000
55 1.000000 5.781360 55.000000
56 1.000000 5.807355 56.000000
57 1.000000 5.832890 57.000000
58 1.000000 5.857981 58.000000
59 1.000000 5.882643 59.000000
60 1.000000 5.906891 60.000000
61 1.000000 5.930737 61.000000
62 1.000000 5.954196 62.000000
63 1.000000 5.977280 63.000000
64 1.000000 6.000000 64.000000
65 1.000000 6.022368 65.000000
66 1.000000 6.044394 66.000000
67 1.000000 6.066089 67.000000
68 1.000000 6.087463 68.000000
69 1.000000 6.108524 69.000000
70 1.000000 6.129283 70.000000
71 1.000000 6.149747 71.000000
72 1.000000 6.169925 72.000000
73 1.000000 6.189825 73.000000
74 1.000000 6.209453 74.000000
75 1.000000 6.228819 75.000000
76 1.000000 6.247928 76.000000
77 1.000000 6.266787 77.000000
78 1.000000 6.285402 78.000000
79 1.000000 6.303781 79.000000
80 1.000000 6.321928 80.000000
81 1.000000 6.339850 81.000000
82 1.000000 6.357552 82.000000
83 1.000000 6.375039 83.000000
84 1.000000 6.392317 84.000000
85 1.000000 6.409391 85.000000
86 1.000000 6.426265 86.000000
87 1.000000 6.442943 87.000000
88 1.000000 6.459432 88.000000
89 1.000000 6.475733 89.000000
90 1.000000 6.491853 90.000000
91 1.000000 6.507795 91.000000
92 1.000000 6.523562 92.000000
93 1.000000 6.539159 93.000000
94 1.000000 6.554589 94.000000
95 1.000000 6.569856 95.000000
96 1.000000 6.584963 96.000000
97 1.000000 6.599913 97.000000
98 1.000000 6.614710 98.000000
99 1.000000 6.629357 99.000000
100 1.000000 6.643856 100.000000
