# n  cmp_2way  cmp_3way  time_2way_ms  time_3way_ms  cmp2/(n*log2n)  cmp3/(n*log3n)
500 3855.60 4722.90 0.0000 0.1000 0.860070 1.669819
1000 8706.20 10749.40 0.0000 0.2000 0.873609 1.709589
2000 19394.50 24025.40 0.1000 0.2000 0.884319 1.736281
4000 42832.40 52956.00 0.3000 0.4000 0.894893 1.753610
8000 93638.20 116385.40 0.4000 0.7000 0.902743 1.778397
16000 203281.50 252749.50 1.1000 1.3000 0.909730 1.792768
32000 438621.30 545159.00 2.2000 2.7000 0.915884 1.804233
64000 941095.00 1173779.10 4.8000 4.9000 0.921008 1.820686
125000 1959255.80 2438699.00 10.5000 10.6000 0.925729 1.826291
250000 4168765.00 5199776.50 21.9000 20.2000 0.929928 1.838423
500000 8837059.90 11039597.70 44.0000 44.2000 0.933579 1.848484
1000000 18674051.90 23286625.20 96.3000 95.3000 0.936908 1.851757
2000000 39348251.60 49191071.60 253.9000 251.9000 0.939926 1.862402
