# k  n=200(fixed)  cmp_method1  cmp_method2  t1_ms  t2_ms  ratio1=cmp1/(k^2*n)  ratio2=cmp2/(k*n*log2k)
2 200 397.00 397.00 0.0000 0.0000 0.496250 0.992500
4 200 1793.33 1594.00 0.0000 0.0000 0.560417 0.996250
8 200 6975.67 4787.00 0.0000 0.3333 0.544974 0.997292
16 200 26885.67 12771.33 0.3333 0.0000 0.525111 0.997760
32 200 104930.33 31942.33 0.3333 0.3333 0.512355 0.998198
64 200 413924.00 76673.67 4.0000 3.3333 0.505278 0.998355
128 200 1642636.33 178951.00 3.3333 2.0000 0.501293 0.998610
256 200 6547453.67 409096.00 9.3333 4.3333 0.499531 0.998770
512 200 26137686.67 920590.67 31.3333 7.0000 0.498537 0.998905
1024 200 104452304.00 2046008.67 119.0000 16.6667 0.498067 0.999028
