# n  k=16(fixed)  cmp_method1  cmp_method2  t1_ms  t2_ms  cmp1_over_n  cmp2_over_n
1000 16 134899.67 63967.67 0.3333 0.6667 134.899667 63.967667
2000 16 269826.67 127967.67 1.0000 1.0000 134.913333 63.983833
4000 16 539854.00 255971.33 2.3333 3.0000 134.963500 63.992833
8000 16 1079883.00 511968.33 3.3333 4.3333 134.985375 63.996042
16000 16 2159899.33 1023966.33 6.0000 7.3333 134.993708 63.997896
32000 16 4319880.33 2047956.67 14.3333 13.6667 134.996260 63.998646
64000 16 8639886.00 4095924.00 27.6667 27.0000 134.998219 63.998812
125000 16 16874940.33 7999870.00 64.6667 32.6667 134.999523 63.998960
250000 16 33749886.33 15999760.00 64.6667 58.3333 134.999545 63.999040
500000 16 67499770.33 31999516.67 81.3333 60.0000 134.999541 63.999033
